pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2024-03-30,95.3,-1.4,5.42,"Yamamoto, Yoshinobu",543063,808967,field_out,hit_into_play,,,,,3.0,Brandon Crawford lines out to left fielder Teoscar Hernández.,R,L,R,LAD,STL,X,7.0,line_drive,2,1,2024,-0.49,1.22,0.34,3.15,,676475.0,,2,5,Top,97.4,93.79,,,,,5.704012286672906,-138.70456294072198,-3.0911515360498565,-7.5774706601882515,31.30246248176798,-15.935068235571077,3.37,1.57,292.0,85.1,28.0,95.9,2065.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.89,0.063,0.075,0.0,1.0,0.0,0.0,3.0,34,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,217.0,0.044,-0.311,,,0.114,0.311,88.0,0,0,0.5206578534558131,0.4793421465441869,25,37,26,37,2,1,9.0,,7.0,4.0,1.29,0.49,-0.49,42.8,,,,,
FS,2024-03-30,89.6,-1.37,5.42,"Yamamoto, Yoshinobu",543063,808967,,called_strike,,,,,4.0,Called Strike,R,L,R,LAD,STL,S,,,2,0,2024,-0.55,0.16,-0.68,2.42,,676475.0,,2,5,Top,,,,,,,2.8651479619088587,-130.58588161822124,-1.81807891506426,-6.883145026281559,24.96248863960727,-30.1787868280903,3.48,1.69,,,,90.3,1272.0,6.4,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.07,,,,,,,,34,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,242.0,-0.002,-0.028,,,,0.028,,0,0,0.5206578534558131,0.4793421465441869,25,37,26,37,2,1,9.0,,7.0,4.0,2.65,0.55,-0.55,40.7,,,,,
FS,2024-03-30,89.5,-1.45,5.32,"Yamamoto, Yoshinobu",543063,808967,,blocked_ball,,,,,13.0,Ball In Dirt,R,L,R,LAD,STL,B,,,1,0,2024,-0.88,0.16,-0.05,0.43,,676475.0,,2,5,Top,,,,,,,5.341606913305208,-130.1788975560207,-6.5047207075848315,-11.08237287678662,25.604284932717473,-29.212130257006333,3.44,1.69,,,,90.5,1475.0,6.8,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.74,,,,,,,,34,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,243.0,-0.002,0.024,,,,-0.024,,0,0,0.5206578534558131,0.4793421465441869,25,37,26,37,2,1,9.0,,7.0,4.0,2.67,0.88,-0.88,41.5,,,,,
FS,2024-03-30,90.3,-1.27,5.44,"Yamamoto, Yoshinobu",543063,808967,,ball,,,,,14.0,Ball,R,L,R,LAD,STL,B,,,0,0,2024,-0.78,0.11,0.56,0.85,,676475.0,,2,5,Top,,,,,,,6.238974700577674,-131.38612242951328,-5.747921853461169,-10.33117274672301,27.337708313383978,-29.9310329495791,3.46,1.74,,,,90.7,1276.0,6.5,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.98,,,,,,,,34,1,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,241.0,-0.002,0.014,,,,-0.014,,0,0,0.5206578534558131,0.4793421465441869,25,37,26,37,2,1,9.0,,7.0,4.0,2.69,0.78,-0.78,45.5,,,,,
FF,2024-03-30,94.7,-1.26,5.35,"Yamamoto, Yoshinobu",676475,808967,double,hit_into_play,,,,,4.0,Alec Burleson doubles (1) on a sharp line drive to center fielder James Outman.,R,L,R,LAD,STL,X,8.0,line_drive,0,0,2024,-0.56,1.27,-0.4,2.48,,,,2,5,Top,90.34,72.61,,,,,3.533890634446034,-137.93283921676513,-4.709307707883506,-7.920995787811158,29.905059568578512,-15.14548231171225,3.42,1.61,258.0,104.3,12.0,95.6,2131.0,6.7,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.83,0.931,0.922,1.25,1.0,1.0,1.0,4.0,33,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,219.0,-0.033,0.614,,,1.195,-0.614,104.3,0,0,0.5520698604857484,0.4479301395142516,25,25,26,26,2,1,9.0,1.0,7.0,1.0,1.26,0.56,-0.56,40.1,,,,,
FF,2024-03-30,94.5,-1.42,5.32,"Yamamoto, Yoshinobu",671056,808967,field_out,hit_into_play,,,,,9.0,"Iván Herrera grounds out, second baseman Gavin Lux to first baseman Freddie Freeman.",R,R,R,LAD,STL,X,4.0,ground_ball,3,1,2024,-0.59,1.2,0.79,1.85,,,,1,5,Top,147.97,144.99,,,,,7.139919969972417,-137.40784243714256,-6.092149405091319,-9.03337716676623,27.829665522340132,-15.813212302224532,3.09,1.42,9.0,93.0,-11.0,95.5,2122.0,6.7,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.78,0.189,0.166,0.0,1.0,0.0,0.0,2.0,32,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,216.0,0.021,-0.424,,,0.217,0.424,93.0,0,0,0.5298806137075903,0.4701193862924097,25,24,26,24,2,1,9.0,,7.0,3.0,1.34,0.59,0.59,40.0,,,,,
CU,2024-03-30,75.8,-0.99,5.59,"Yamamoto, Yoshinobu",671056,808967,,ball,,,,,12.0,Ball,R,R,R,LAD,STL,B,,,2,1,2024,1.05,-1.26,0.11,3.61,,,,1,5,Top,,,,,,,0.4218204968638924,-110.10555923166665,5.291550549998804,8.4571156187416,20.819692993758466,-43.58595250078918,3.17,1.52,,,,75.8,2315.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.94,,,,,,,,32,4,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,34.0,0.0,0.122,,,,-0.122,,0,0,0.5298806137075903,0.4701193862924097,25,24,26,24,2,1,9.0,,7.0,3.0,5.26,-1.05,-1.05,51.1,,,,,
CU,2024-03-30,77.0,-1.02,5.59,"Yamamoto, Yoshinobu",671056,808967,,ball,,,,,11.0,Ball,R,R,R,LAD,STL,B,,,1,1,2024,0.98,-1.31,-1.07,3.66,,,,1,5,Top,,,,,,,-1.8815893486643187,-111.96776192986783,5.301734365456133,8.561598149708583,20.093937695954207,-44.37472580825377,3.12,1.55,,,,77.4,2567.0,6.6,746168,669257,518692,666158,571970,605141,606192,681546,518792,53.88,,,,,,,,32,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,34.0,0.0,0.059,,,,-0.059,,0,0,0.5298806137075903,0.4701193862924097,25,24,26,24,2,1,9.0,,7.0,3.0,5.16,-0.98,-0.98,48.4,,,,,
FS,2024-03-30,91.6,-1.24,5.33,"Yamamoto, Yoshinobu",671056,808967,,ball,,,,,14.0,Ball,R,R,R,LAD,STL,B,,,0,1,2024,-1.27,0.2,0.06,-0.14,,,,1,5,Top,,,,,,,6.033164414827426,-133.10376170818313,-8.37599852434262,-16.369308377341802,27.94726226873456,-28.226295969300093,3.23,1.57,,,,91.8,1551.0,6.4,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.08,,,,,,,,32,2,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,234.0,0.0,0.024,,,,-0.024,,0,0,0.5298806137075903,0.4701193862924097,25,24,26,24,2,1,9.0,,7.0,3.0,2.52,1.27,1.27,40.7,,,,,
FF,2024-03-30,95.0,-1.44,5.43,"Yamamoto, Yoshinobu",671056,808967,,called_strike,,,,,5.0,Called Strike,R,R,R,LAD,STL,S,,,0,0,2024,-0.77,1.56,0.14,2.38,,,,1,5,Top,,,,,,,5.884297012329858,-138.17600273551977,-5.82292525892865,-11.211484280464212,31.55342674179691,-11.09685941951485,3.36,1.71,,,,95.1,2340.0,6.4,746168,669257,518692,666158,571970,605141,606192,681546,518792,54.06,,,,,,,,32,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,214.0,0.0,-0.037,,,,0.037,,0,0,0.5298806137075903,0.4701193862924097,25,24,26,24,2,1,9.0,,7.0,3.0,0.97,0.77,0.77,41.6,,,,,
