"pitches","player_id","player_name","total_pitches","pitch_type","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
1651,642547,"Peralta, Freddy",3086,"FF",53.5,0.209,0.171,0.239,0.381,0.309,0.348,0.242,71,339,91,22.3,2441,94.8,95.4,178,780,871,0.6000000000000085,6.8,114,149,122,151,303,328,300,"9.25","-9.25","68.8","6.6",395,249,45,10,0,16,93,23.5,45,11.4,1.15686,1.39627,0.38523,-0.03333,"91.4",198,41.6,12.8,8.10126582278481,5.42,-3.37,-0.21,2.91,0.315,32,"-0.560266505",0.343,0.455,"0.560266505",-0.033,-0.028000000000000025,-0.074,-0.039,22.8,"41.4",3.852009169278392,8.929383714942752,30.92373635033042,0.4489528795811518,35.67868503589335,23.10355830168919
1628,592332,"Gausman, Kevin",3030,"FF",53.7,0.23,0.149,0.26,0.38,0.298,0.339,0.263,91,395,91.9,21.1,2260,94.5,94.69,147,870,758,0.20000000000000284,6.65,111,149,116,149,294,324,295,"20.427","-20.427","70.8","6.8",437,313,58,20,0,13,83,19,36,8.2,1.17663,1.40138,0.92487,0.01713,"91.8",200,46.64536741214057,9.26517571884984,6.636155606407322,5.81,-2.43,-0.18,2.42,0.299,29,"-1.25472973",0.328,0.455,"1.25472973",-0.033,-0.029000000000000026,-0.075,-0.041,16.9,"38.4",3.1416915453949223,7.988580748400618,33.20069858837353,0.39953271028037385,35.61435888968668,22.770912177323584
1595,592662,"Ray, Robbie",3069,"FF",52,0.208,0.15,0.257,0.357,0.291,0.299,0.211,75,361,91.1,24.3,2360,93.6,93.14,194,826,769,-0.5,6.15,109,150,120,148,294,324,293,"8.914","-8.914","69.1","6.7",415,258,46,16,1,12,108,26,46,11.1,1.10283,1.51354,0.6875,-0.32682,"91.3",203,44.74708171206226,10.505836575875486,6.506024096385541,6.22,2.57,0.11,3.1,0.3,27,"-0.558871473",0.303,0.373,"0.558871473",-0.003,-0.0030000000000000027,-0.016,-0.008,23.5,"47.0",4.921964753842215,9.712680723613028,28.78093340298182,0.4956736711990111,36.834330773134596,22.79689254660581
1454,680730,"Parker, Mitchell",2705,"FF",53.8,0.274,0.184,0.27,0.458,0.353,0.392,0.311,95,347,93.1,16.7,2169,92.9,93.82,78,738,716,0.8999999999999915,6.88,107,150,120,148,303,324,300,"-8.788","8.788","70.2","6.8",403,318,58,23,1,13,36,8.9,46,11.4,1.14669,1.50098,0.47853,-0.2454,"92.8",187,54.40251572327044,10.062893081761008,7.94044665012407,6.33,1.26,0.03,2.77,0.358,32,"0.604401651",0.392,0.517,"-0.604401651",-0.037,-0.03400000000000003,-0.059,-0.039,10.6,"64.2",4.845616331784776,7.982950269429503,29.92848791774565,0.48956884561891517,36.25447427538675,24.82721231068331
1412,668678,"Gallen, Zac",3135,"FF",45,0.244,0.168,0.27,0.413,0.316,0.351,0.265,77,315,93.1,17.2,2320,93.5,93.83,73,562,850,0.29999999999999716,6.57,111,149,117,149,301,324,300,"4.486","-4.486","69.4","6.8",352,256,49,14,3,11,63,17.9,31,8.8,1.18737,1.42924,0.35802,-0.00497,"92.8",194,51.953125,11.71875,8.522727272727272,6.04,-2.71,-0.09,2.66,0.313,30,"-0.317705382",0.332,0.484,"0.317705382",-0.021,-0.019000000000000017,-0.071,-0.035,13,"44.7",5.995705270340255,6.45610580000284,32.18238638887983,0.5036363636363637,36.37303034522817,24.976577004827103
1392,657746,"Ryan, Joe",2795,"FF",49.8,0.207,0.182,0.252,0.389,0.279,0.273,0.197,68,329,91.6,25,2295,93.7,94.3,210,775,617,0.5999999999999943,6.8,115,148,116,150,299,328,294,"16.949","-16.949","70.9","6.8",350,222,40,12,0,16,107,30.6,18,5.1,1.4797,1.13326,1.04981,-0.07578,"91.5",194,44.5945945945946,12.162162162162163,7.7142857142857135,4.77,-2.47,0.14,2.84,0.254,27,"-1.217600575",0.245,0.389,"1.217600575",0.01,0.009000000000000008,0,0.006,27.1,"25.5",4.797252186029937,8.600852804988088,29.577768903076258,0.45310435931307796,36.14377257309756,24.397377057410303
1388,669022,"Gore, MacKenzie",2818,"FF",49.3,0.294,0.19,0.318,0.483,0.366,0.376,0.292,79,269,91.5,21.1,2260,95.3,96.1,151,731,657,0.7999999999999972,6.87,109,150,121,149,300,321,297,"0.379","-0.379","69.8","6.7",309,224,52,15,0,12,51,16.5,32,10.4,1.10387,1.4177,0.55146,-0.31701,"91.4",198,47.767857142857146,10.714285714285714,7.766990291262135,5.69,1.98,-0.06,2.91,0.367,24,"-0.027305476",0.37,0.495,"0.027305476",0.002,-0.0030000000000000027,-0.012,-0.01,20.7,"42.7",3.5847528744796895,10.247077231410614,30.146475774085694,0.4160887656033287,35.443680210951534,22.905824904903593
1386,622491,"Castillo, Luis",2988,"FF",46.4,0.2,0.206,0.229,0.406,0.289,0.282,0.195,63,315,91.4,26.3,2211,95,93.25,210,792,594,-1.7999999999999972,5.39,115,147,118,147,288,321,296,"12.118","-12.118","69.7","6.7",343,225,31,14,3,15,91,26.5,24,7,1.5082,1.0314,1.0803,-0.11783,"91.5",209,49.333333333333336,14.222222222222221,9.329446064139942,5.16,-2.18,0.04,3.12,0.262,32,"-0.874314574",0.258,0.393,"0.874314574",0.005,0.0040000000000000036,0.013,0.007,26.5,"17.0",5.491640018477838,8.033443813279925,28.927390891549365,0.4839537869062901,36.73437421367549,23.792225463182653
1383,601713,"Pivetta, Nick",2851,"FF",48.5,0.183,0.143,0.227,0.326,0.259,0.317,0.216,60,328,93,26.6,2325,93.8,94.41,173,694,689,0.6000000000000085,6.87,120,150,121,151,302,327,301,"20.487","-20.487","69.5","6.7",366,221,39,8,0,13,111,30.3,33,9,0.97295,1.63997,0.22357,-0.02984,"92.4",206,54.54545454545454,13.636363636363635,8.19672131147541,6.8,-1.01,0.08,3.11,0.258,30,"-1.481344902",0.293,0.424,"1.481344902",-0.033,-0.034999999999999976,-0.098,-0.058,24.9,"56.9",6.147917791438531,7.1604612137832095,28.99837024230567,0.527736131934033,35.821291691189,24.5775943228674
1368,667755,"Soriano, José",2784,"SI",49.1,0.29,0.09,0.305,0.38,0.341,0.352,0.289,103,355,92.2,-7.6,1922,97.2,97.89,106,657,711,0.7000000000000028,6.63,109,147,116,149,306,328,302,"1.817","-1.817","71.0","7.0",412,327,83,14,0,6,32,7.8,49,11.9,2.15045,0.26031,1.10439,-0.13075,"94.6",93,54.74006116207951,5.5045871559633035,4.368932038834951,5.83,-1.26,-0.16,2.13,0.38,18,"-0.132821637",0.381,0.411,"0.132821637",0.001,-0.0010000000000000009,-0.031,-0.011,16.1,"34.5",5.108083881739719,7.223689270801099,34.34817694223206,0.495253164556962,37.073596771677934,24.265017534791102
